Word,Count
hello,36
hi,5
bye,2
hey,3
hoho,1
ariyan,3
my,2
name,2
is,26
jahangir,1
and,36
i,12
am,5
from,6
bangladesh,2
world,4
elon,1
musk,1
failed,1
in,21
class,3
an,5
trustful,1
source,1
beloved,1
!reader,3
giving,1
up,1
on,9
dreams,1
everyone,3
dead,1
given,3
denied,1
road,1
kill,1
zafrin,2
nahin,4
abir,2
!wordgraph,10
how,4
are,22
you,13
fine,3
doing,2
what,4
about,3
where,2
!help,1
!chat,5
py,2
bot,5
a,30
designed,1
to,28
use,1
the,85
numpy,1
pandas,1
library,1
of,52
python,3
show,1
graphs,1
apply,1
regression,1
we,1
hope,1
make,3
it,6
able,1
process,1
machine,1
learning,1
classifiers,1
future,1
ki,1
obostha,1
tor,1
ariyan?,1
read,2
university,1
school,1
chittagong,1
project,2
this,2
still,1
progress,1
sunny,1
day,3
but,9
weather,1
chilly,1
pleasant,1
surprise,1
tokyo,1
ghoul,1
re,2
zero,1
anime,1
games,1
winston,2
one,6
most,2
laid-back,2
people,2
know,2
he,16
tall,2
slim,2
with,4
black,4
hair,2
always,4
wears,2
t-shirt,2
jeans,4
his,11
have,12
holes,2
them,10
baseball,3
boots,2
scruffy,2
too,2
usually,4
sits,2
at,5
back,5
often,2
seems,2
be,8
asleep,2
however,5
when,6
exam,2
results,2
out,4
gets,3
don't,2
think,2
hes,2
as,6
lazy,2
appears,2
here,2
perfect,2
system,2
for,10
cleaning,2
your,6
room,6
first,3
move,2
all,7
items,6
that,14
do,2
not,5
proper,2
place,6
centre,4
get,2
rid,2
least,2
five,2
things,3
used,2
within,2
last,6
year,3
take,2
trash,2
dirty,2
dishes,2
kitchen,2
sink,2
now,4
find,2
location,2
each,2
had,6
placed,2
any,2
remaining,2
see,4
if,64
can,2
squeeze,2
under,2
bed,2
or,2
stuff,2
into,3
closet,2
was,3
easy,2
oceans,6
lakes,8
much,8
common,2
they,6
also,2
quite,2
different,2
both,6
bodies,6
water,6
very,2
large,2
salt,2
while,4
smaller,4
fresh,2
surrounded,2
by,4
land,2
surround,2
continents,2
plants,2
animals,4
living,2
ocean,2
home,3
largest,2
planet,4
whereas,2
support,2
forms,2
life,3
time,2
vacation,2
will,2
great,2
visit,2
enjoy,2
blue,4
whales,4
just,3
played,1
their,3
game,5
new,2
season,1
believe,1
there,2
excited,1
although,1
lost,1
against,2
excellent,3
team,3
won,2
championship,2
fell,1
behind,1
early,1
showed,1
teamwork,1
came,1
tie,1
15,1
hits,1
scored,1
8,1
runs,1
that's,1
unfortunately,1
5,1
fielding,1
errors,1
which,2
kept,1
other,2
lead,1
entire,1
ended,1
umpire,1
making,1
bad,1
call,2
gone,1
way,1
might,1
actually,1
wasn't,1
victory,1
say,1
look,1
like,1
shot,1
especially,1
continue,1
improve,1
good,17
morning,5
evening,5
night,7
forty,1
years,3
ago,1
vegeta,5
infamous,1
saiyan,2
warrior,2
race,2
king,2
noticed,1
baby,1
named,2
broly,4
whose,2
latent,1
power,2
exceeded,1
own,1
son,3
believing,1
brolys,2
would,2
surpass,1
child,1
sends,1
desolate,1
vampa,1
father,1
paragus,2
follows,1
after,4
him,2
intent,1
rescuing,1
ship,1
damaged,1
causing,1
two,1
spend,1
trapped,1
barren,1
unaware,1
salvation,1
come,1
unlikely,1
ally,1
later,2
earth,1
gokuu,1
prince,1
believed,1
survivors,1
busy,1
training,1
remote,1
island,1
sparring,1
interrupted,1
appearance,1
old,1
enemy,1
frieza,2
drives,1
search,2
wish,1
granting,1
dragon,1
balls,1
frozen,1
continent,1
once,1
shows,1
off,2
allies,1
extremely,1
powerful,1
legendary,1
battle,1
shakes,1
foundation,1
ensues,1
goku,1
face,1
without,1
equal,1
rage,1
waiting,1
unleashed,1
subaru,5
natsuki,1
leaves,1
convenience,1
store,1
thing,1
expects,1
wrenched,1
everyday,1
dropped,1
fantasy,1
arent,1
looking,1
bewildered,1
teenager,1
long,1
arrival,1
attacked,1
some,1
thugs,2
armed,1
only,1
bag,1
groceries,1
useless,1
cell,1
phone,1
quickly,1
beaten,1
pulp,1
fortunately,1
mysterious,1
beauty,1
satella,3
hot,1
pursuit,1
who,1
stole,1
her,2
insignia,2
happens,1
upon,1
saves,1
order,1
thank,1
honest,1
kindhearted,1
girl,1
offers,1
help,1
even,1
finds,1
whereabouts,1
she,1
seeks,1
unbeknownst,1
darker,1
force,1
stalks,1
pair,1
shadows,1
minutes,1
locating,1
brutally,1
murdered,1
immediately,1
awakens,1
familiar,1
scene,1
confronted,1
same,1
group,1
meeting,1
over,1
again,1
enigma,1
deepens,1
history,1
inexplicably,1
repeats,1
itself,1
